Data Point Listing of File C:\Documents and Settings\NMR\Desktop\FPraktikum\2021\16122021\centerfrquency-1.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	kHz
-20073.211	2225.572	449.219
-5496.812	1287.493	446.777
-10875.341	3968.385	444.336
-8719.832	2827.219	441.895
-18108.480	6526.125	439.453
-3937.258	10854.041	437.012
-11788.367	11220.188	434.570
-2883.588	5397.402	432.129
-16403.766	22905.828	429.688
-3936.839	10024.113	427.246
-3178.367	12939.232	424.805
-4752.814	6637.328	422.363
-19538.461	8645.994	419.922
-15962.644	3899.104	417.480
-17597.107	7228.198	415.039
-9860.698	-433.888	412.598
-11249.287	6848.984	410.156
-15654.633	7617.289	407.715
-23038.619	4703.400	405.273
-2940.550	10322.701	402.832
-14373.702	12049.691	400.391
-19842.953	4692.020	397.949
-11356.721	17975.473	395.508
-12858.582	11781.217	393.066
-12910.675	13556.771	390.625
-18869.402	12117.869	388.184
-21550.875	8307.720	385.742
-12238.299	7443.994	383.301
-14518.407	11900.158	380.859
-14716.131	18541.824	378.418
-27267.064	-1763.798	375.977
-29246.461	10094.986	373.535
-17349.410	1623.500	371.094
-14275.908	350.699	368.652
-8611.518	14487.114	366.211
-15753.234	2884.508	363.770
-11452.942	18273.189	361.328
-10887.585	8522.029	358.887
-24095.170	10222.947	356.445
-15517.993	1892.294	354.004
-5436.864	11374.707	351.563
2233.330	5889.482	349.121
-21644.820	6668.999	346.680
-13796.185	9976.945	344.238
-17410.143	-5607.308	341.797
-21427.836	9938.480	339.355
-18301.975	12431.856	336.914
-13001.859	10132.131	334.473
-17058.730	8171.917	332.031
-9082.762	20617.676	329.590
-24633.014	17922.258	327.148
-18949.563	12075.639	324.707
-18059.926	765.782	322.266
-20013.389	12118.311	319.824
-17729.303	9930.139	317.383
-21867.170	6842.891	314.941
-18910.592	12086.629	312.500
-15133.428	3045.622	310.059
-10100.328	12875.565	307.617
-14682.881	3392.908	305.176
-31352.957	5181.093	302.734
-15063.040	7615.156	300.293
-9530.981	5486.718	297.852
-18109.980	-3086.858	295.410
-19144.633	4339.338	292.969
-24196.432	13618.604	290.527
-14696.352	16335.455	288.086
-17105.680	23858.938	285.645
-14038.859	-788.119	283.203
-18922.385	2985.298	280.762
-8368.047	11604.938	278.320
-19005.340	242.449	275.879
-22669.199	3013.382	273.438
-23572.613	8404.182	270.996
-22117.688	-9663.257	268.555
-15663.438	-3141.030	266.113
-30920.563	5688.355	263.672
-26661.170	-7134.884	261.230
-24904.371	11400.000	258.789
-22759.775	3542.927	256.348
-22100.000	-4515.949	253.906
-25377.605	13329.605	251.465
-21037.434	-2752.899	249.023
-22081.539	10727.969	246.582
-21697.311	14885.313	244.141
-28106.301	16177.273	241.699
-25288.658	485.395	239.258
-26967.531	12181.316	236.816
-31285.811	17707.141	234.375
-17087.318	6303.787	231.934
-25853.141	14100.348	229.492
-27922.223	7371.903	227.051
-28061.617	19799.252	224.609
-38347.898	14418.094	222.168
-32369.514	15098.823	219.727
-28576.344	11687.822	217.285
-30135.230	15995.188	214.844
-35336.695	4827.168	212.402
-29242.867	26004.625	209.961
-27432.520	20614.746	207.520
-29934.691	25807.816	205.078
