Data Point Listing of File C:\Documents and Settings\NMR\Desktop\FPraktikum\2021\16122021\centerfrquency-1.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	kHz
24273.777	-83.646	63.477
17593.250	-17185.805	61.035
35627.074	-14750.447	58.594
18785.703	-11515.014	56.152
18437.547	-11113.793	53.711
14968.492	-10564.220	51.270
20589.113	-7123.912	48.828
29299.672	-16947.242	46.387
19834.004	-18414.219	43.945
2364.813	-25388.568	41.504
-12125.911	-6989.872	39.063
8448.338	-10072.265	36.621
-3632.357	-22190.539	34.180
-5828.430	-6770.931	31.738
-7638.102	-125.370	29.297
-3270.301	-6633.756	26.855
-3539.327	8159.666	24.414
-17536.656	18694.023	21.973
-13072.879	15014.869	19.531
-17212.637	24542.314	17.090
-10956.517	19959.236	14.648
-10087.339	31588.389	12.207
-396.262	44096.406	9.766
4305.753	47825.984	7.324
4710.686	54642.980	4.883
17040.928	55931.953	2.441
46842.734	74498.992	0.000
53891.586	50378.559	-2.441
61975.805	43076.703	-4.883
84934.859	35868.164	-7.324
87890.547	39396.086	-9.766
88512.813	12353.347	-12.207
102814.883	-10039.400	-14.648
93326.164	-1358.923	-17.090
100103.141	-32706.365	-19.531
91382.109	-34114.941	-21.973
77024.813	-62454.031	-24.414
61039.516	-69280.000	-26.855
46567.672	-80587.219	-29.297
34778.844	-71918.500	-31.738
23183.398	-71942.328	-34.180
8652.134	-81226.203	-36.621
-7610.730	-69429.438	-39.063
-18249.152	-71929.836	-41.504
-29110.414	-49734.480	-43.945
-39535.492	-49434.164	-46.387
-46849.188	-23603.328	-48.828
-47877.680	6790.305	-51.270
-62083.195	1226.794	-53.711
-51577.266	31176.826	-56.152
-56291.273	47246.305	-58.594
-42634.027	68810.125	-61.035
-21289.275	82969.047	-63.477
-2867.627	100215.344	-65.918
9134.829	101133.594	-68.359
26014.637	124358.922	-70.801
64069.316	121243.031	-73.242
84766.500	118977.391	-75.684
124553.273	115115.109	-78.125
138128.547	130430.938	-80.566
154455.375	104104.969	-83.008
193644.656	73148.469	-85.449
209334.938	52010.383	-87.891
235459.719	45878.219	-90.332
249098.453	15840.673	-92.773
281806.813	-14368.518	-95.215
300476.125	-54730.363	-97.656
314507.813	-86566.734	-100.098
318375.375	-130444.969	-102.539
331386.500	-191257.016	-104.980
300490.875	-264429.313	-107.422
299450.156	-320089.344	-109.863
254046.828	-405423.500	-112.305
201253.531	-481213.875	-114.746
100572.000	-527800.375	-117.188
-33892.102	-564811.875	-119.629
-156703.031	-531481.688	-122.070
-248638.750	-467226.313	-124.512
-309832.313	-375843.563	-126.953
-358809.688	-289735.625	-129.395
-358932.875	-206777.563	-131.836
-361368.500	-146420.313	-134.277
-334126.000	-84941.406	-136.719
-315891.438	-32456.223	-139.160
-288335.750	2029.185	-141.602
-267476.938	48171.324	-144.043
-222663.781	66145.289	-146.484
-198124.125	73915.344	-148.926
-168585.188	79142.133	-151.367
-142113.172	87550.984	-153.809
-130216.781	103771.367	-156.250
-97656.094	95238.570	-158.691
-76961.875	78999.594	-161.133
-59437.516	77737.188	-163.574
-57376.547	55472.703	-166.016
-41786.414	61271.512	-168.457
-26556.936	53681.438	-170.898
-34236.156	41213.367	-173.340
-30053.777	40511.602	-175.781
-30108.605	37923.578	-178.223
-29308.590	30343.500	-180.664
-18348.354	15505.387	-183.105
-29279.770	13306.811	-185.547
-23508.598	13206.342	-187.988
-18213.148	18278.910	-190.430
-34035.156	25671.871	-192.871
-19103.127	19452.457	-195.313
-18409.184	21884.355	-197.754
-19525.049	23890.197	-200.195
-4732.656	8576.758	-202.637
-17657.777	10775.282	-205.078
-14262.975	9531.247	-207.520
-17227.539	5569.293	-209.961
-21101.426	-4512.003	-212.402
-7139.189	10670.918	-214.844
-17591.848	4901.318	-217.285
-22916.873	6486.251	-219.727
-12281.953	11363.105	-222.168
-23509.859	8905.699	-224.609
-9632.572	2475.445	-227.051
-16369.070	-7331.525	-229.492
-7303.202	4148.640	-231.934
-11182.722	-4157.349	-234.375
-15478.150	9790.123	-236.816
-15417.274	-4483.162	-239.258
-25297.365	1560.208	-241.699
-13843.999	13176.276	-244.141
-21256.848	6656.219	-246.582
-23430.725	9246.099	-249.023
-16952.352	6658.808	-251.465
-10582.977	-2305.471	-253.906
-18754.244	-1708.235	-256.348
-23523.992	-6417.917	-258.789
-27620.082	588.860	-261.230
-20073.527	6684.290	-263.672
-10593.989	-4294.498	-266.113
-14508.114	8913.637	-268.555
-12249.939	809.704	-270.996
-19383.918	8432.472	-273.438
-7570.451	-1464.196	-275.879
-17250.225	8503.906	-278.320
-13385.654	4667.071	-280.762
-6311.714	2430.209	-283.203
-15193.512	5616.626	-285.645
-12558.154	7761.520	-288.086
-4133.261	9562.888	-290.527
-5269.093	-5827.905	-292.969
-14909.370	22787.258	-295.410
-2456.432	5084.804	-297.852
-3020.451	10558.917	-300.293
-6364.653	16112.775	-302.734
-4039.072	2348.967	-305.176
-15338.932	-378.026	-307.617
-2555.414	12114.021	-310.059
1496.445	7378.378	-312.500
-4488.229	1119.345	-314.941
-7969.863	2707.535	-317.383
-12139.359	-3265.697	-319.824
-12443.956	-15.244	-322.266
-14911.184	7196.932	-324.707
-15106.387	3639.207	-327.148
-14798.833	-3380.795	-329.590
-10921.557	-5970.991	-332.031
-13524.722	2884.159	-334.473
-16708.367	14822.824	-336.914
-3823.153	-4117.952	-339.355
-10828.444	125.488	-341.797
-9589.811	4864.762	-344.238
